,Name,Surname,Division,Manager,Gender,LGBTQ,Nationality,Ethnicity,Disability,Age,Mobile Number,Email,Avez-vous déjà été victime/témoin de harcèlement sexuel ?,Avez-vous déjà été victime/témoin de discrimination raciale ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur l'âge au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre ou l’orientation sexuelle ?,"Avez-vous déjà été témoin ou victime de discrimination fondée sur votre religion, culture ?",Avez-vous déjà été témoin ou victime de discrimination basée sur votre état de santé ou handicap au travail ?,Avez-vous déjà été témoin ou victime de discrimination basée sur votre parentalité ou future parentalité ?,Avez-vous déjà ressenti une situation de harcèlement moral ou psychologique au travail ?,Vous sentez-vous en mesure de signaler en toute sécurité des préoccupations concernant des comportements inappropriés au travail ?,"Dans le cas où vous avez déjà fait un signalement, comment jugez-vous le traitement de votre plainte ? (1 à 10, 10 étant totalement satisfait)",Estimez-vous que l'égalité est respectée au sein de votre entreprise ? (1 à 10),Dans quelle mesure diriez-vous que votre entreprise valorise la diversité et l'inclusion ? (1 à 10),"Vous sentez-vous apprécié pour le travail que vous accomplissez, indépendamment de votre identité sexuelle, de votre race, de votre handicap ou de votre nationalité ? (1 à 10)","Vous sentez-vous heureux au travail ? (1 à 10, 10 étant la meilleure note)","Vous sentez-vous en sécurité au travail ? (1 à 10, 10 étant la meilleure note)","Comment évaluez-vous votre niveau de stress au travail ? (1 à 10, où 10 représente le plus faible niveau de stress)","Comment évaluez-vous la qualité des relations avec vos collègues de travail ? (1 à 10, 10 étant la meilleure note)","Recommanderiez-vous l’entreprise à un proche ? (1 à 10, 10 tout à fait)",Vous sentez-vous respecté(e) et entendu(e) par vos collègues et votre hiérarchie ? (1 à 10),"Pensez-vous que votre entreprise valorise et promeut activement un environnement de travail inclusif ? (1 à 10, 10 tout à fait)","Pensez-vous que la direction et les managers de votre entreprise sont engagés et responsables en matière de diversité et d'inclusion ? (1 à 10, 10 tout à fait)","Selon vous, quelles mesures l'entreprise devrait-elle prendre pour mieux prévenir et gérer les discriminations ?",Votre entreprise propose-t-elle des formations régulières sur la diversité et l'inclusion pour tous les employés ?,L'entreprise dispose-t-elle de politiques claires et accessibles concernant la lutte contre la discrimination et le harcèlement ?,Avez-vous accès à une personne de contact ou à un service dédié pour signaler les incidents de discrimination ou de harcèlement ?,Salaire_Annuel,Pays,Continent,Moyenne_Toutes_Colonnes_Num
10,Ramon,Mccall,Sales,No,Male,No,Indian,White,No,54,502 332 1292,Ramon.Mccall@mail.ca,Rarement,Régulièrement,Régulièrement,Jamais,Jamais,Rarement,Parfois,Souvent,Souvent,Jamais,8,9,6,9,8,9,6,10,6,3,9,5,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,83885,India,Asia,7.33
11,Fred,Wilton,RD,No,Female,Prefer not to say,Indian,Middle Eastern,No,35,773 530 6142,Fred.Wilton@mail.ca,Souvent,Souvent,Parfois,Jamais,Souvent,Parfois,Jamais,Parfois,Parfois,Parfois,8,3,7,8,9,4,9,6,8,3,9,8,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,22078,India,Asia,6.83
12,Nick,Sloan,Operations,No,Prefer not to say,No,Jordanian,Black,No,54,568 569 7849,Nick.Sloan@mail.ca,Jamais,Rarement,Rarement,Jamais,Rarement,Souvent,Souvent,Rarement,Souvent,Souvent,5,4,8,8,10,10,5,6,8,10,8,7,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,21614,Jordan,Asia,7.42
13,Kassandra,Jarrett,Operations,No,Male,No,Sri Lankan,Middle Eastern,No,32,790 679 8854,Kassandra.Jarrett@mail.ca,Parfois,Jamais,Souvent,Parfois,Parfois,Parfois,Souvent,Souvent,Jamais,Souvent,9,8,10,9,8,10,10,9,7,2,10,9,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Non,70890,Sri Lanka,Asia,8.42
14,Russel,Larsen,Sales,No,Male,No,Canadian,White,No,29,368 391 2838,Russel.Larsen@mail.ca,Jamais,Souvent,Parfois,Parfois,Souvent,Souvent,Rarement,Régulièrement,Parfois,Rarement,10,10,10,8,3,9,8,9,9,8,8,10,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,81372,Canada,North America,8.5
15,Rhea,Latham,IT,No,Male,No,British,Middle Eastern,No,32,869 635 9373,Rhea.Latham@mail.ca,Rarement,Jamais,Souvent,Régulièrement,Parfois,Rarement,Jamais,Rarement,Parfois,Parfois,5,2,7,9,8,7,8,6,8,5,9,8,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,20241,United Kingdom,Europe,6.83
16,Liliana,Todd,HR,No,Male,No,Canadian,White,No,39,431 833 4660,Liliana.Todd@mail.ca,Rarement,Parfois,Parfois,Rarement,Rarement,Rarement,Souvent,Souvent,Régulièrement,Régulièrement,8,9,10,4,7,10,6,8,5,7,6,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Oui,Non,48541,Canada,North America,7.08
17,Brad,Windsor,Operations,No,Male,No,Canadian,White,No,33,593 241 3231,Brad.Windsor@mail.ca,Souvent,Rarement,Souvent,Souvent,Régulièrement,Souvent,Parfois,Jamais,Jamais,Rarement,8,7,9,4,5,9,3,3,7,6,9,3,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,71907,Canada,North America,6.08
18,David,Russel,IT,No,Non-binary/non-conforming,No,Canadian,White,No,29,182 385 7034,David.Russel@mail.ca,Jamais,Rarement,Régulièrement,Rarement,Régulièrement,Jamais,Jamais,Jamais,Souvent,Rarement,8,7,9,6,5,9,3,4,10,8,3,9,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Oui,Non,36873,Canada,North America,6.75
19,Carina,Robertson,HR,No,Prefer not to say,Yes,Brazilian,White,No,34,692 380 3747,Carina.Robertson@mail.ca,Rarement,Souvent,Souvent,Régulièrement,Souvent,Jamais,Souvent,Rarement,Souvent,Parfois,9,2,2,9,10,8,8,7,1,6,7,3,Promouvoir des politiques de tolérance zéro contre la discrimination.,Oui,Non,Non,28323,Brazil,South America,6.0
20,Henry,Ainsworth,Operations,No,Male,No,American,White,No,29,214 787 9989,Henry.Ainsworth@mail.ca,Souvent,Jamais,Régulièrement,Parfois,Souvent,Souvent,Souvent,Jamais,Rarement,Rarement,9,4,6,5,9,7,6,9,10,4,5,1,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,59877,United States,North America,6.25
21,Chester,Carson,IT,No,Male,No,Canadian,White,No,40,493 511 7039,Chester.Carson@mail.ca,Souvent,Régulièrement,Jamais,Rarement,Parfois,Souvent,Souvent,Parfois,Jamais,Souvent,6,9,10,6,4,7,2,3,10,9,5,7,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Oui,58298,Canada,North America,6.5
22,Ronald,Varley,Sales,No,Female,Prefer not to say,Canadian,White,No,52,931 603 5682,Ronald.Varley@mail.ca,Rarement,Rarement,Jamais,Souvent,Jamais,Parfois,Jamais,Parfois,Jamais,Parfois,5,4,5,9,6,9,9,10,5,10,9,8,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Oui,88761,Canada,North America,7.42
23,Chester,Foxley,IT,No,Male,No,Ukrainian,White,No,43,793 897 8748,Chester.Foxley@mail.ca,Parfois,Souvent,Rarement,Souvent,Rarement,Parfois,Rarement,Souvent,Régulièrement,Jamais,8,10,7,8,4,9,2,9,8,8,7,5,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,30454,Ukraine,Europe,7.08
24,John,Underhill,Marketing,Yes,Prefer not to say,No,Canadian,Black,No,26,958 565 2880,John.Underhill@mail.ca,Parfois,Rarement,Rarement,Jamais,Rarement,Jamais,Parfois,Jamais,Jamais,Jamais,9,8,10,8,7,6,6,9,8,2,4,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,58879,Canada,North America,6.83
25,Oliver,Page,Sales,No,Male,Yes,Indian,White,No,30,826 118 8037,Oliver.Page@mail.ca,Jamais,Rarement,Rarement,Jamais,Souvent,Jamais,Parfois,Régulièrement,Rarement,Jamais,6,3,10,10,8,8,7,8,10,8,3,6,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,70064,India,Asia,7.25
26,Rosa,Hunt,HR,No,Male,Yes,Mongolian,White,No,29,993 386 8408,Rosa.Hunt@mail.ca,Rarement,Rarement,Régulièrement,Régulièrement,Jamais,Parfois,Rarement,Rarement,Parfois,Jamais,9,3,6,5,5,8,9,4,8,8,9,7,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,37072,Mongolia,Asia,6.75
27,Fiona,Willis,Sales,No,Female,No,Malaysian,White,Yes,43,446 760 5498,Fiona.Willis@mail.ca,Souvent,Rarement,Rarement,Rarement,Souvent,Parfois,Souvent,Rarement,Parfois,Rarement,8,7,10,4,7,5,8,3,8,7,4,5,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,63881,Malaysia,Asia,6.33
28,Evelynn,Maxwell,Sales,No,Male,No,American,White,No,36,677 933 4579,Evelynn.Maxwell@mail.ca,Rarement,Parfois,Régulièrement,Parfois,Rarement,Rarement,Parfois,Régulièrement,Rarement,Parfois,4,9,7,5,8,8,10,8,1,8,10,9,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,76937,United States,North America,7.25
29,Nicholas,Cadman,Finance,No,Male,No,Chinese,White,Yes,37,565 775 1146,Nicholas.Cadman@mail.ca,Rarement,Jamais,Parfois,Rarement,Régulièrement,Jamais,Régulièrement,Souvent,Souvent,Souvent,8,10,5,7,8,10,7,6,6,5,8,9,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Non,26590,China,Asia,7.42
30,Eduardo,Holmes,Sales,No,Male,No,Canadian,White,No,34,303 248 3841,Eduardo.Holmes@mail.ca,Jamais,Souvent,Souvent,Jamais,Jamais,Jamais,Jamais,Parfois,Souvent,Parfois,9,3,8,9,10,7,8,5,6,4,6,10,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Oui,56515,Canada,North America,7.08
31,Marvin,Allcott,IT,No,Female,No,Canadian,White,Yes,27,290 815 7299,Marvin.Allcott@mail.ca,Régulièrement,Parfois,Parfois,Régulièrement,Jamais,Souvent,Parfois,Jamais,Rarement,Souvent,6,10,4,5,7,9,7,7,7,9,10,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,38509,Canada,North America,7.33
32,Domenic,Redfern,Sales,No,Male,No,Indian,White,No,35,522 397 4848,Domenic.Redfern@mail.ca,Parfois,Souvent,Jamais,Rarement,Souvent,Parfois,Rarement,Régulièrement,Rarement,Souvent,6,8,9,8,1,7,6,4,9,9,7,7,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,22289,India,Asia,6.75
33,Lindsay,Michael,IT,No,Male,No,Canadian,White,No,26,784 801 7206,Lindsay.Michael@mail.ca,Rarement,Souvent,Souvent,Rarement,Rarement,Rarement,Parfois,Jamais,Rarement,Parfois,9,7,5,8,5,7,7,8,4,4,7,7,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,77170,Canada,North America,6.5
34,Oliver,Yang,Finance,Yes,Female,Yes,Canadian,Middle Eastern,No,28,666 740 8589,Oliver.Yang@mail.ca,Parfois,Souvent,Régulièrement,Régulièrement,Régulièrement,Rarement,Régulièrement,Jamais,Jamais,Rarement,8,8,1,5,6,6,2,8,5,7,8,9,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,33102,Canada,North America,6.08
35,Eduardo,Roberts,IT,No,Male,No,Canadian,White,Prefer not to say,35,931 305 3573,Eduardo.Roberts@mail.ca,Rarement,Régulièrement,Rarement,Rarement,Souvent,Rarement,Régulièrement,Rarement,Parfois,Régulièrement,5,7,2,2,2,9,8,9,5,9,8,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,27960,Canada,North America,6.25
36,Carissa,King,IT,No,Transgender,Yes,Canadian,Other,No,37,689 122 2638,Carissa.King@mail.ca,Souvent,Jamais,Rarement,Rarement,Jamais,Parfois,Jamais,Régulièrement,Jamais,Jamais,7,8,9,7,7,8,4,10,8,8,3,5,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Non,Non,59145,Canada,North America,7.0
37,Jane,Boyle,Marketing,No,Male,No,Korean,White,Yes,49,936 910 6940,Jane.Boyle@mail.ca,Souvent,Jamais,Rarement,Souvent,Jamais,Jamais,Rarement,Parfois,Parfois,Régulièrement,3,6,9,5,8,1,2,9,9,3,7,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Oui,87605,South Korea,Asia,5.67
38,Jasmine,Waterhouse,Marketing,No,Male,No,Canadian,White,No,30,918 265 4724,Jasmine.Waterhouse@mail.ca,Souvent,Souvent,Parfois,Jamais,Parfois,Jamais,Régulièrement,Jamais,Rarement,Souvent,9,3,8,2,9,9,7,5,10,6,10,1,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Oui,Oui,29610,Canada,North America,6.58
39,Logan,Ingham,Marketing,No,Male,No,Polish,White,Yes,31,424 969 6428,Logan.Ingham@mail.ca,Souvent,Souvent,Parfois,Régulièrement,Régulièrement,Souvent,Jamais,Rarement,Souvent,Souvent,10,7,3,9,6,7,8,5,1,8,5,8,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Oui,74014,Poland,Europe,6.42
40,Julianna,Rixon,IT,No,Female,No,Canadian,White,Yes,34,318 853 6881,Julianna.Rixon@mail.ca,Rarement,Rarement,Jamais,Jamais,Parfois,Jamais,Rarement,Parfois,Jamais,Souvent,8,7,9,7,10,10,7,6,9,2,6,5,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,65191,Canada,North America,7.17
41,Emery,Booth,RD,No,Female,Yes,Canadian,Asian,No,34,508 386 6867,Emery.Booth@mail.ca,Jamais,Parfois,Rarement,Souvent,Régulièrement,Parfois,Souvent,Régulièrement,Rarement,Parfois,7,5,9,9,6,8,7,6,9,7,5,2,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,83685,Canada,North America,6.67
42,Gabriel,Ellery,Finance,No,Female,No,Canadian,Asian,No,30,458 989 6641,Gabriel.Ellery@mail.ca,Rarement,Régulièrement,Souvent,Rarement,Régulièrement,Rarement,Rarement,Souvent,Rarement,Régulièrement,8,8,7,7,9,6,5,7,8,7,7,6,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Oui,Non,Non,17014,Canada,North America,7.08
43,Hannah,Goldsmith,Finance,No,Male,No,Indian,White,No,30,986 605 6457,Hannah.Goldsmith@mail.ca,Parfois,Rarement,Rarement,Parfois,Souvent,Souvent,Parfois,Jamais,Rarement,Jamais,8,5,8,7,3,6,10,8,8,7,8,7,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,47507,India,Asia,7.08
44,Domenic,Tyrrell,Marketing,No,Male,No,English,White,No,54,862 127 9550,Domenic.Tyrrell@mail.ca,Rarement,Jamais,Parfois,Rarement,Régulièrement,Souvent,Parfois,Souvent,Souvent,Souvent,5,8,10,9,2,1,8,8,6,9,3,4,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Oui,Non,Non,26330,United Kingdom,Europe,6.08
45,Nick,Jeffery,HR,No,Male,No,Canadian,White,No,41,689 972 2225,Nick.Jeffery@mail.ca,Rarement,Jamais,Souvent,Rarement,Parfois,Rarement,Jamais,Parfois,Parfois,Souvent,8,9,9,9,8,10,9,7,9,9,9,2,Promouvoir des politiques de tolérance zéro contre la discrimination.,Non,Oui,Oui,44361,Canada,North America,8.17
46,Chuck,Heaton,Sales,No,Male,No,Canadian,Asian,No,34,860 197 3628,Chuck.Heaton@mail.ca,Souvent,Parfois,Jamais,Jamais,Souvent,Régulièrement,Rarement,Jamais,Jamais,Jamais,7,5,8,9,10,9,10,7,5,4,8,2,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,21462,Canada,North America,7.0
47,Doug,Clifford,IT,No,Male,Yes,Greek,Black,No,43,837 237 4683,Doug.Clifford@mail.ca,Rarement,Régulièrement,Parfois,Jamais,Souvent,Rarement,Rarement,Rarement,Régulièrement,Souvent,2,10,8,9,7,2,6,7,5,9,4,6,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,65434,Greece,Europe,6.25
48,Ramon,Allington,Sales,No,Male,No,Indian,Black,No,45,173 240 9426,Ramon.Allington@mail.ca,Rarement,Régulièrement,Jamais,Régulièrement,Jamais,Jamais,Régulièrement,Rarement,Souvent,Rarement,5,7,10,2,8,5,5,8,5,10,8,7,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Oui,Oui,Non,43265,India,Asia,6.67
49,Ron,Kennedy,Marketing,No,Male,No,Canadian,White,No,27,214 815 1009,Ron.Kennedy@mail.ca,Régulièrement,Souvent,Souvent,Rarement,Régulièrement,Régulièrement,Rarement,Rarement,Jamais,Jamais,6,4,6,9,6,8,9,8,9,2,3,3,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,18808,Canada,North America,6.08
50,Domenic,Potts,IT,No,Male,No,Indian,White,No,56,186 143 3215,Domenic.Potts@mail.ca,Souvent,Souvent,Rarement,Souvent,Rarement,Rarement,Rarement,Régulièrement,Rarement,Souvent,9,5,9,9,4,5,7,9,1,5,10,7,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,47000,India,Asia,6.67
51,Hadley,Farrell,Finance,No,Female,No,Norwegian,White,Yes,47,758 851 9338,Hadley.Farrell@mail.ca,Parfois,Rarement,Jamais,Rarement,Souvent,Souvent,Jamais,Rarement,Rarement,Parfois,7,4,8,9,6,7,7,10,8,6,8,7,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Oui,85918,Norway,Europe,7.25
52,Audrey,Bolton,Marketing,No,Female,No,Greek,White,No,42,867 758 4133,Audrey.Bolton@mail.ca,Jamais,Jamais,Rarement,Parfois,Souvent,Parfois,Rarement,Régulièrement,Régulièrement,Rarement,9,8,9,7,9,5,6,7,5,10,7,8,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Oui,Non,33331,Greece,Europe,7.5
53,Tara,Dallas,Sales,No,Male,No,Canadian,Asian,No,40,128 357 8106,Tara.Dallas@mail.ca,Régulièrement,Jamais,Jamais,Rarement,Jamais,Parfois,Parfois,Rarement,Souvent,Parfois,1,4,6,9,7,6,3,8,8,1,8,5,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Oui,Non,Oui,22576,Canada,North America,5.5
54,Mason,Farrant,HR,No,Male,Yes,Canadian,Asian,No,34,304 153 2163,Mason.Farrant@mail.ca,Rarement,Rarement,Rarement,Parfois,Rarement,Souvent,Parfois,Parfois,Souvent,Régulièrement,7,8,9,5,3,8,3,7,8,5,5,8,Améliorer la transparence dans le traitement des signalements de discrimination.,Non,Non,Non,28626,Canada,North America,6.33
55,Percy,Farrell,Operations,No,Male,No,Australian,Asian,Yes,50,348 830 7834,Percy.Farrell@mail.ca,Rarement,Jamais,Rarement,Rarement,Régulièrement,Parfois,Parfois,Jamais,Rarement,Parfois,4,9,1,9,9,2,9,6,3,6,9,10,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,67169,Australia,Australia,6.42
56,Liam,Santos,Sales,No,Male,No,Indian,Black,No,56,544 557 9964,Liam.Santos@mail.ca,Souvent,Souvent,Souvent,Régulièrement,Parfois,Rarement,Rarement,Rarement,Rarement,Rarement,8,9,8,9,10,9,8,9,1,3,7,5,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Oui,64932,India,Asia,7.17
57,Joseph,Gosling,Finance,No,Male,No,Chinese,White,No,30,545 741 7764,Joseph.Gosling@mail.ca,Rarement,Souvent,Rarement,Rarement,Parfois,Régulièrement,Parfois,Rarement,Jamais,Jamais,5,10,2,10,8,8,9,8,4,9,8,6,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,18385,China,Asia,7.25
58,Phoebe,Knight,Marketing,No,Male,No,Canadian,White,No,35,315 288 6360,Phoebe.Knight@mail.ca,Parfois,Régulièrement,Rarement,Rarement,Rarement,Parfois,Régulièrement,Jamais,Rarement,Rarement,8,7,6,7,2,8,5,9,5,5,8,8,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Oui,Oui,Non,58971,Canada,North America,6.5
59,Jackeline,Phillips,IT,No,Male,No,American,White,No,34,962 870 5492,Jackeline.Phillips@mail.ca,Parfois,Régulièrement,Parfois,Régulièrement,Souvent,Souvent,Parfois,Jamais,Rarement,Souvent,7,5,2,8,10,9,7,5,5,9,6,7,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Oui,Non,Non,56152,United States,North America,6.67
60,John,Stone,Sales,No,Male,No,Canadian,White,Yes,39,728 889 8402,John.Stone@mail.ca,Parfois,Rarement,Rarement,Régulièrement,Rarement,Rarement,Rarement,Jamais,Jamais,Parfois,5,5,8,3,10,4,4,10,6,6,8,7,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Non,Non,28893,Canada,North America,6.33
